clearstoryProjectId,jobNumber,projectName,status,matches,clearstoryApprovedAtpAndCoIssuedUsd,sitelineLatestTotalUsd,differenceUsd,sitelineContractCount
29962,21202,21202 - Project Monarch,missing_siteline,,1212445,,,0
27572,21205,21205 - WWTP Solids Rehabilitation - (Clark) (Goel-NS)(HP/CC),missing_siteline,,958107.99,,,0
28064,21207,21207 - FEMA Building 716,missing_siteline,,529000,,,0
27022,21208,21208 - Leidos 539 - Phase 2  (Warner) (Goel-PW)(RD/JS),missing_siteline,,1500000,,,0
74383,21208 - 2,21208R - Backcharges to ThermaDuct for Warranty and fabrication by DCB,missing_siteline,,-475000,,,0
28082,21214,21214 - KIPP Terrell Campus Renovation,missing_siteline,,61459,,,0
27023,21218,21218 - NIH Data Center MEP Survey Bldg 38A (Grimberg) (Goel-PW)(DR/AS),missing_siteline,,207650,,,0
28024,21220,21220 - ICC-B Maury & Erskine Halls,missing_siteline,,3500,,,0
28083,21224,21224 - 100 Light Street,missing_siteline,,23300,,,0
28058,21225,21225 - USDA GWCC Modernization,missing_siteline,,1130000,,,0
28310,21227,21227 - Rosemont (MCPS),missing_siteline,,51134.39,,,0
37336,21230,21230 - Norwood School,missing_siteline,,87000,,,0
34430,21231,21231 - GSA Chilled & Hot Water Riser Replacement & Piping,missing_siteline,,75500,,,0
29893,21232,"21232 - Baltimore County - #CWA-121-20: Insulation Installation, Removal, Replacement and Related Services",missing_siteline,,650,,,0
36597,21233,21233 - Government Office Renovation (GOR),missing_siteline,,20000,,,0
35416,21234,21234 - Leidos - Steam Station,missing_siteline,,54744.86,,,0
33463,21235,"21235 - GSA-SSA Perimeter East ""B"" & Cafeteria",missing_siteline,,1222970.48,,,0
32470,21237,21237 - Ellume Frederick Building 202,missing_siteline,,821614.53,,,0
49998,21238,21238 - Mount Weather Bldg 470 (Warner Mechanical - 21-01-0154),missing_siteline,,58850,,,0
33864,21241,21241 - Shady Grove Medical Center (S&D) () (),missing_siteline,,64920.63,,,0
45334,21242,21242 - Calvert School Field House,missing_siteline,,56259.76,,,0
40365,21243,21243 - Douglas MacArthur ES (Mallick) (Goel-PW)(HP/CC),missing_siteline,,536345.22,,,0
35394,21244,21244 - Reston Row - Garage (Mallick) (Goel-NS)(DRo/SU),missing_siteline,,812053.14,,,0
35929,21250,"21250 - 2100 M Street, NW",missing_siteline,,425000,,,0
35989,21253,21253 - Bethesda Place,missing_siteline,,3050,,,0
34908,21254,21254 - Northrup Grumman Troy Hill - (GE Tignal) (Goel-NS)(RD/JS),missing_siteline,,485483.48,,,0
41424,21255,21255 - AOC Boiler Feed,missing_siteline,,164220,,,0
37667,21270,21270 - LBJ Consolidation Constructive & Switchgear (Grimberg) (Goel-PW)(RD/JS),missing_siteline,,694542,,,0
47667,21271,21271 - Rehabilitation of Carter G. Woodson (Grimberg) (Goel-PW)(TB/RF),missing_siteline,,31000,,,0
99496,21272,21272 - P-3003 Consolidated Communication Ctr JAB Andrews (Ronco)(Goel-PW)(JO/JS),missing_siteline,,1252484.1,,,0
197635,21272,21272A - P-3003 Consolidated Communication Ctr JAB Andrews WATER DAMAGE REPAIR (Ronco)(Goel-PW)(JO/JS),missing_siteline,,54946.36,,,0
38550,21273,21273 - Ellume Building B,missing_siteline,,913805.42,,,0
42668,21274,21274 - NIH Building 40A (Welch and Rushe),missing_siteline,,3525000,,,0
53023,21274,21274 - NIH 40A (Hensel Pheips)(Goel-PW)(DR/AS),missing_siteline,,5392712.48,,,0
37486,21276,21276 - Citizen M Noma- T&M Repairs,missing_siteline,,57257.39,,,0
42880,21279,21279 - FEMA Mount Weather Bldg B-602 (Warner) (Goel-NS)(DR/AS),missing_siteline,,535500,,,0
39457,21280,21280 - TransAmerica 8th Floor Renovation (Willis Wharf Fitout),missing_siteline,,25950,,,0
39885,21281,21281 - INOVA Loudoun-Phase 2B Patient (S&D) (Goel-NS)(TB/RF),missing_siteline,,2493.12,,,0
